MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,pure leaf,tea,11091
,new belgium primus mural variety pack,beer,10990
,dr pepper,cooking  baking,10983
,lipton bottled iced tea,tea,10898
,cheerios,cereal granola  toaster pastries,10876
,papermate,household supplies,10866
,kit kat,candy,10839
,hidden valley ranch,dips  salsa,10661
,mms,candy,10622
,pepperidge farm,crackers,10613
,slim jim,jerky  dried meat,10553
,bounty,household supplies,10542
,minute maid premium,fruit juices,10540
,cloud break,wine,10532
,sierra,hair removal,10451
,folgers,coffee,10431
,diet coke caffeine free,carbonated soft drinks,10275
,malta india,beer,10229
,smuckers uncrustables,nut butters  jam,10208
,celsius,carbonated soft drinks,10203
,arizona,fruit juices,10113
,kraft,dips  salsa,10084
,digiorno,frozen pizza  pizza snacks,9994
,ball park pop ups,bread,9922
,ragu,red pasta sauce,9894
,evriholder,bath  body,9839
,pace,cooking  baking,9698
,chex mix,snack mixes,9680
,bacardi party drinks bacardi usa,spirits,9661
,jose cuervo,spirits,9653
,barefoot,wine,9584
,four loko pregame,malt beverages,9550
,ragu,sauces  marinades,9385
,sweetwater,beer,9349
,tostitos,dips  salsa,9299
,perdue,packaged meat,9254
,prego,sauces  marinades,9112
,land o lakes,prepared meals,9072
,barqs,carbonated soft drinks,9003
,jim beam,spirits,8964
,caseys gen store,puffed snacks,8920
,mug root beer,carbonated soft drinks,8824
,bacardi,spirits,8777
,live for tomorrow,bath  body,8769
,nerds,candy,8738
,clorox,cooking  baking,8730
,banquet,frozen meals,8693
,betty crocker,packaged meat,8677
,tasty,wine,8640
,kahlua,spirits,8579
,santitas,chips,8567
,old spice,deodorant  antiperspirant,8557
,buttercream,wine,8517
,celsius,sports drinks,8479
,low hanging fruit,wine,8450
,arnold brownberry oroweat,bread,8390
,ush blueberries,candy,8385
,kelloggs,rice  grains,8368
,lipton,tea,8313
,palo viejo palo ready,spirits,8249
,mission,chips,8246
,dunkin,coffee,8244
,natures bakery,bakery,8244
,cinnamon toast crunch,cereal granola  toaster pastries,8237
,swanson,soup  broth,8208
,canyon oaks,wine,8141
,mcalisters deli,cookies,8133
,carson ridge,wine,8114
,smuckers uncrustables,frozen vegetables,8054
,imperial,butter  margarine,8028
,southern tier brewing company,beer,8019
,kroger home sense,bath  body,8014
,spice world,cooking  baking,7982
,snack pack,snack mixes,7938
,welchs fruit snacks,fruit  vegetable snacks,7934
,sara lee artesano,bakery,7912
,bimbo bread,bread,7888
,simply orange,fruit juices,7874
,honey bunches of oats,cereal granola  toaster pastries,7865
,tide,laundry supplies,7861
,ruffles,fruit  vegetable snacks,7855
,predo,baby bathing,7852
,grove co,bath  body,7754
,lunchables,prepared meals,7748
,blue buffalo,cooking  baking,7745
,spalife,bath  body,7680
,simple truth,bath  body,7675
,old el paso,bread,7670
,gerber,baby bathing,7637
,scott,household supplies,7619
,propel,drink mixes,7619
,field and farm,wine,7605
,sunkist,carbonated soft drinks,7587
,fritolay,chips,7585
,lagunitas,beer,7582
,twizzlers,candy,7571
,bacardi party drinks,spirits,7481
,cool whip,frozen desserts,7462
,progresso,soup  broth,7459
,hellmanns best foods,condiments,7427
,kind,frozen meals,7392
,mcalisters deli,carbonated soft drinks,7387
,bertolli,frozen meals,7341
,fritos,fruit  vegetable snacks,7319
,perdue,puffed snacks,7311
,tesoro della regina,wine,7297
,atkins,cooking  baking,7288
,orbit,gum,7268
,charmin,household supplies,7263
,minute maid,carbonated soft drinks,7226
,dole,fruit juices,7224
,dasani,water,7219
,titos,spirits,7210
,3 musketeers,candy,7159
,cocktail artist,drink mixes,7153
,cape cod,chips,7123
,meijer,hair removal,7112
,oreida,frozen meals,7108
,kind,nuts  seeds,7058
,uno mas,wine,7054
,fritos,chips,7043
,veuve du vernay,wine,7037
,99,spirits,7008
,brisk,tea,6994
,new amsterdam pink whitney,spirits,6960
,dermassage,bath  body,6957
,fisherprice,household supplies,6940
,daves killer bread,bread,6913
,corn nuts,nuts  seeds,6898
,red stripe,beer,6887
,glad,household supplies,6822
,fruity pebbles,cereal granola  toaster pastries,6807
,giant,candy,6804
,fireball,malt beverages,6776
,rascal  friends,potty training,6768
,dixon,cooking  baking,6752
,birds eye,makeup,6732
,bic,makeup,6730
,brisk,carbonated soft drinks,6704
,jimmy dean,frozen breakfast,6658
,lifewtr,water,6658
,big sipper,wine,6615
,founders,beer,6610
,twizzlers,candy,6536
,oui by yoplait,yogurt,6528
,smartfood,puffed snacks,6518
,sutter home,wine,6516
,caseys gen store,carbonated soft drinks,6488
,kingsford,cooking  baking,6470
,castello del poggio,wine,6421
,caseys gen store,cooking  baking,6388
,remaining brnd,household supplies,6369
,greenies,cooking  baking,6364
,kevita,carbonated soft drinks,6352
,homeline,bath  body,6331
,vlasic,sauces  marinades,6298
,philadelphia,cheese,6285
,cafe bustelo,coffee,6272
,dial,bath  body,6246
,froot loops,cereal granola  toaster pastries,6236
,mcalisters deli,cheese,6224
,eccentric,wine,6214
,pinalen,bath  body,6208
,rancho la gloria,wine,6190
,kool aid,drink mixes,6161
,wellsley farms,wine,6158
,caseys gen store,chips,6146
,skinnypop,puffed snacks,6118
,samuel robert winery,wine,6106
,philadelphia cream cheese,cheese,6090
,great lakes,beer,6053
,motts,fruit juices,6042
,krusteaz,cooking  baking,6031
,sunchips,chips,6019
,parrot bay,spirits,6010
,quaker life,cereal granola  toaster pastries,6002
,seventh generation,bath  body,5973
,harmony,household supplies,5961
,ball park pop ups,bakery,5920
,hunts,sauces  marinades,5912
,social,wine,5898
,utz,chips,5892
,naked,fruit juices,5877
,suave,oral care,5843
,horizon,milk,5835
,barilla,chips,5816
,lipton,soup  broth,5804
,stouffers,frozen pizza  pizza snacks,5794
,corona,spirits,5790
,jinro,spirits,5787
,ritas,cooking  baking,5755
,huggies,eggs,5742
,studio selection,deodorant  antiperspirant,5736
,tiny umbrellas,wine,5720
,klondike,frozen desserts,5709
,value,bath  body,5699
,lunazul,spirits,5697
,angel soft,household supplies,5676
,popcorners,puffed snacks,5675
,goldfish,candy,5674
,imperial,beer,5647
,kettle brand,chips,5638
,hersheys syrups,candy,5634
,hill country fare,drink mixes,5633
,v8,carbonated soft drinks,5625
,lucky super soft,bath  body,5594
,pure leaf bottled beverages,tea,5592
,firestone,beer,5590
,trolli,candy,5583
,ever spring,bath  body,5549
,great lakes variety pack,beer,5518
,u by kotex,feminine hygeine,5516
,stella artois,beer,5505
,juicy juice,fruit juices,5503
,pepperidge farm,cookies,5498
,always,feminine hygeine,5497
,hawaiian punch,fruit juices,5489
,motts,fruit  vegetable snacks,5489
,chips ahoy,chips,5484
,rivata,wine,5481
,powerade ion4,sports drinks,5445
,red white and blue,beer,5443
,international delight,coffee,5402
,cocacola life,carbonated soft drinks,5382
,great lakes christmas ale,beer,5377
,flybird,wine,5365
,motts,packaged fruit  applesauce,5352
,mio,carbonated soft drinks,5342
,lysol,cooking  baking,5307
,mcalisters deli,chips,5289
,foster,cooking  baking,5280
,knorr,soup  broth,5272
,kroger,household supplies,5255
,country crock,butter  margarine,5249
,cleanze,bath  body,5240
,pedigree,cooking  baking,5226
,wildwood,carbonated soft drinks,5208
,chesters,puffed snacks,5205
,chex,cereal granola  toaster pastries,5187
,honey nut cheerios,cereal granola  toaster pastries,5171
,johnnie walker black label,spirits,5155
,walgreens,bath  body,5154
,lysol,household cleaning supplies,5150
,mollie stones best,fruit juices,5144
,jello,cooking  baking,5143
,christian brothers,spirits,5135
,miller lite,hard seltzers sodas waters lemonades  teas,5123
,busch light,beer,5119
,yukon jack,spirits,5115
,jameson,spirits,5100
,funyuns,puffed snacks,5084
,talenti,frozen desserts,5076
,mccain,frozen vegetables,5074
,dove mencare,bath  body,5066
,pillsbury,cookies,5065
,keel and curley winery,wine,5031
,firebrand,wine,5005
,danimals,yogurt,4997
,choco vine,wine,4986
,western son,spirits,4968
,smuckers,nut butters  jam,4953
,scrub free plus oxi clean,bath  body,4949
,germ x,bath  body,4926
,eau de juice,deodorant  antiperspirant,4919
,unanime,wine,4901
,method,bath  body,4892
,tajin,dips  salsa,4891
,ice breakers,gum,4883
,air wick,hair care,4882
,yellow tail,wine,4877
,head country,packaged meat,4876
,big sky brewing company,beer,4844
,zonin,wine,4843
,taco bell,cooking  baking,4833
,classico,sauces  marinades,4832
,kroger,water,4823
,5 gum,gum,4813
,multiple value,beer,4812
,mcalisters deli,water,4804
,goldfish,crackers,4767
,clif,chips,4764
,hersheys,candy,4749
,blue diamond almonds,nuts  seeds,4747
,quaker,chips,4735
,seagrams,malt beverages,4727
,crown royal,spirits,4717
,calvert,spirits,4707
,bai,fruit juices,4685
,degree,deodorant  antiperspirant,4674
,ready pac bistro,cooking  baking,4651
,sheep dog,spirits,4650
,dove,deodorant  antiperspirant,4648
,tylenol,medicines  treatments,4642
,nestle,milk,4636
,twisted tea,malt beverages,4622
,powerade option,sports drinks,4605
,core hydration,water,4595
,milkyway,candy,4589
,pam,cooking  baking,4571
,capri sun,fruit juices,4535
,aw,carbonated soft drinks,4531
,la croix,carbonated soft drinks,4530
,luc belaire,wine,4523
,up and up,hair removal,4521
,busch,spirits,4514
,ball park,packaged meat,4501
,remy martin,spirits,4500
,essentia,water,4486
,good day,spirits,4476
,reeses puffs,cereal granola  toaster pastries,4472
,nature valley,nuts  seeds,4455
,ajax,household supplies,4443
,knorr,rice  grains,4427
,ensign red,spirits,4421
,hersheys kisses,candy,4399
,teremana,spirits,4395
,makers mark,spirits,4394
,edge,hair removal,4391
,7 up,carbonated soft drinks,4386
,coors light,makeup,4379
,meijer,bath  body,4374
,glade,hair care,4370
,welchs,fruit juices,4369
,los cabos,spirits,4369
,smartly,hair removal,4362
,degree men,deodorant  antiperspirant,4343
,pearl milling co,cereal granola  toaster pastries,4341
,hillshire farm,packaged meat,4314
,york,candy,4292
,four loko,malt beverages,4258
,bolthouse farms,fruit juices,4230
,mcalisters deli,milk,4223
,caseys gen store,beer,4222
,budweiser,beer,4221
,goya,packaged vegetables,4204
,topo chico hard seltzer,hard seltzers sodas waters lemonades  teas,4175
,parfumsbelcam,body fragrances,4169
,post,cereal granola  toaster pastries,4148
,rockstar,carbonated soft drinks,4147
,busch light,spirits,4147
,cruz alta,wine,4110
,garnier,hair care,4110
,dautrefois,wine,4109
,hubba bubba,gum,4103
,doublemint,gum,4092
,big red,gum,4085
,allagash,beer,4064
,kleenex,household supplies,4052
,propel,water,4043
,cupcake vineyards,wine,4029
,earth to skin,bath  body,4027
,neutrogena,skin care,4024
,the ohso co,household supplies,4022
,fage,yogurt,4001
,rose all day,wine,3999
,califia farms,coffee,3993
,kroger,fruit juices,3985
,blue buffalo,dog supplies,3976
,hunts,condiments,3975
,vita coco,fruit juices,3974
,noosa,yogurt,3971
,fritos,dips  salsa,3964
,ready pac bistro,nut butters  jam,3944
,forever mine,deodorant  antiperspirant,3936
,cottonelle,household supplies,3930
,bimbo,snack cakes,3914
,coca cola,carbonated soft drinks,3901
,diet coke,carbonated soft drinks,3888
,new amsterdam,spirits,3879
,axion,bath  body,3878
,pampers,diapering,3869
,ropiteau,wine,3849
,koolaid,water,3846
,act ii,puffed snacks,3843
,jarritos,carbonated soft drinks,3840
,caseys gen store,tea,3837
,1800,spirits,3815
,schiavone,wine,3807
,clorox,household cleaning supplies,3804
,claritin,medicines  treatments,3798
,cascade,bath  body,3798
,popov,spirits,3795
,ballast point,beer,3780
,crystal light,drink mixes,3777
,nescafe,coffee,3770
,stonefire,bread,3758
,bob evans,packaged meals  sides,3748
,body cology,body fragrances,3744
,a3,wine,3743
,beechnut,crackers,3732
,dove chocolate,candy,3730
,no brand listed,drink mixes,3708
,chobani flip,yogurt,3702
,dg body,bath  body,3692
,belvita,cookies,3681
,lucky charms,cereal granola  toaster pastries,3665
,bugles,chips,3654
,karbach,malt beverages,3647
,febreze,hair care,3645
,listerine,bath  body,3644
,nature valley,crackers,3637
,military special,spirits,3626
,dove mencare,deodorant  antiperspirant,3618
,kroger,carbonated soft drinks,3617
,naturesweet,packaged vegetables,3615
,broken knight,drink mixes,3609
,suave,deodorant  antiperspirant,3599
,kelloggs,cereal granola  toaster pastries,3594
,pepperidge farm,cooking  baking,3587
,sugar maple,wine,3587
,maybelline,makeup,3583
,black velvet,spirits,3580
,leinenkugels,beer,3578
,dannon,yogurt,3564
,digiorno pizza,frozen pizza  pizza snacks,3545
,bud light,spirits,3545
,cocoa puffs,cereal granola  toaster pastries,3537
,betty crocker,cookies,3536
,truly spiked  sparkling,hard seltzers sodas waters lemonades  teas,3523
,starbucks coffee,coffee,3513
,tampax,feminine hygeine,3507
,puffs,household supplies,3500
,lost coast,beer,3500
,kinky aloha,malt beverages,3499
,2 towns ciderhouse,fruit juices,3495
,nestle,carbonated soft drinks,3492
,modelo especial,spirits,3476
,goya,rice  grains,3469
,blue bunny,frozen meals,3453
,outshine,frozen fruits,3451
,power crunch,nuts  seeds,3447
,honey comb,cereal granola  toaster pastries,3447
,cocacola cherry,carbonated soft drinks,3445
,pearl milling company,cereal granola  toaster pastries,3442
,campbells,soup  broth,3438
,pillsbury other,cooking  baking,3437
,ariana grande,deodorant  antiperspirant,3431
,strongbow,fruit juices,3417
,frio light,beer,3400
,munchies,snack mixes,3383
,oikos,yogurt,3381
,weclean,bath  body,3373
,mikes hard,malt beverages,3362
,studio 35,bath  body,3359
,blue moon,beer,3341
,wachusett,beer,3327
,neon burst,malt beverages,3326
,private label,household supplies,3320
,catch fire,spirits,3320
,skrewball,spirits,3319
,crimson ranch,wine,3284
,rubbermaid,household supplies,3276
,zing zang,drink mixes,3274
,capn crunch,cereal granola  toaster pastries,3271
,big k,carbonated soft drinks,3269
,success,cooking  baking,3262
,sabra,dips  salsa,3260
,fruit gushers,fruit  vegetable snacks,3248
,bubblr,carbonated soft drinks,3238
,stone,beer,3226
,margaritaville,spirits,3216
,innovative designs,household supplies,3206
,welchs juicefuls,fruit  vegetable snacks,3198
,ball park frank,packaged meat,3186
,marinela,cookies,3186
,mikes hard variety pack,malt beverages,3180
,organicgirl,cooking  baking,3174
,clubtails,malt beverages,3168
,jack daniels,spirits,3157
,gain,laundry supplies,3154
,chef boyardee,soup  broth,3153
,angry orchard,fruit juices,3148
,heineken 00,beer,3144
,dixie,spirits,3141
,olema,wine,3140
,marinela,snack cakes,3132
,whip shots,drink mixes,3131
,dunkin donuts,coffee,3130
,penns best na,beer,3115
,rice krispies,crackers,3101
,squirt,carbonated soft drinks,3092
,sierra nevada,beer,3083
,knudsen,eggs,3078
,body armor superdrink,sports drinks,3063
,koolaid jammers,fruit juices,3059
,milos,tea,3053
,king maui,wine,3032
,studio selection,body fragrances,3026
,jagermeister,spirits,3026
,martin house brewing company,beer,3022
,arnold palmer spiked,malt beverages,3021
,lakefront brewery inc,beer,3020
,perdue,prepared meals,3016
,kerasal,bath  body,3013
,simply value,household supplies,3008
,classico,alfredo  white pasta sauce,3005
,suave,hair care,3004
,chobani,coffee,3000
,el monterey,frozen meals,2995
,sensodyne,medicines  treatments,2983
,bobs red mill,cooking  baking,2970
,vennstone,wine,2949
,modern expressions,bath  body,2949
,stacys,chips,2944
,popsicle,frozen desserts,2939
,tropic isle palms,spirits,2937
,temptations,medicines  treatments,2935
,maltin polar,malt beverages,2931
,alexia,frozen chicken,2924
,daxton,hair removal,2923
,groovi beauty,bath  body,2921
,shottys,spirits,2918
,meow mix,drink mixes,2916
,heath,candy,2911
,switchback,beer,2898
,jif,cooking  baking,2896
,gardettos,candy,2892
,crush soda,carbonated soft drinks,2886
,betty crocker,packaged meals  sides,2884
,wine cube,wine,2881
,athenos,eggs,2877
,wicked weed brewing,beer,2868
,goldschlager,spirits,2866
,grey poupon,condiments,2865
,starry,carbonated soft drinks,2851
,tresemme,hair care,2826
,7 eleven,frozen fruits,2818
,mcalisters deli,bakery,2808
,hunts,cooking  baking,2800
,berkley jensen,bath  body,2796
,bulleit,spirits,2796
,sour punch,candy,2790
,funyuns,nuts  seeds,2785
,gts,tea,2783
,goobers,candy,2781
,whiskey run creek,wine,2779
,kelloggs,frozen breakfast,2775
,chips ahoy,chips,2775
,smart ones,frozen meals,2775
,emerald,nuts  seeds,2773
,clif,nuts  seeds,2767
,chobani nonfat greek,yogurt,2765
,smirnoff ice smash,malt beverages,2764
,keystone light,beer,2762
,beak and skiff,fruit juices,2755
,gevalia,coffee,2755
,master,bakery,2752
,white wave land o lakes,cream,2738
,personal care,hair removal,2732
,a  w,carbonated soft drinks,2712
,walmart,bath  body,2710
,olay,bath  body,2706
,sabra,cooking  baking,2693
,mounds,candy,2685
,chesters,candy,2685
,fruit by the foot,fruit  vegetable snacks,2684
,jp chenet,wine,2677
,blue moon,hard seltzers sodas waters lemonades  teas,2676
,99 strawberries,spirits,2672
,ciroc,spirits,2672
,meat church,packaged meat,2659
,v8 splash,carbonated soft drinks,2644
,sauza agua fuerte,spirits,2641
,pillsbury toaster strudel,frozen breakfast,2633
,sharpie,household supplies,2629
,knob creek,spirits,2628
,luc pirlet,wine,2624
,hofbrau munchen,beer,2619
,santitas,candy,2614
,harvester,wine,2610
,mcfarlanes reserve,spirits,2604
,vpx,carbonated soft drinks,2596
,aleve,medicines  treatments,2594
,egglands best,cereal granola  toaster pastries,2589
,kroger,cereal granola  toaster pastries,2587
,kiaora,wine,2585
,grandmas,fruit  vegetable snacks,2583
,hello bello,household supplies,2570
,99 blue raspberries,spirits,2558
,muir wood,wine,2555
,topcare,hair removal,2555
,surly,beer,2554
,budweiser,spirits,2544
,rams point,spirits,2543
,ultra joy,bath  body,2539
,pillsbury,eggs,2538
,nature valley,nut butters  jam,2532
,i cant believe its not butter,butter  margarine,2529
,lays,dips  salsa,2520
,jolly rancher,candy,2517
,goose island,beer,2514
,erdinger,beer,2511
,corn pops,cereal granola  toaster pastries,2510
,seagrams spiked,malt beverages,2510
,swankie hankies,household supplies,2508
,verada,wine,2506
,brillo basics,bath  body,2493
,pabst blue ribbon,malt beverages,2486
,black apple,fruit juices,2484
,alani nu,carbonated soft drinks,2479
,bagel bites,frozen breads  doughs,2475
,celsius,medicines  treatments,2466
,private label,bath  body,2464
,bakery fresh goodness,prepared meals,2457
,cesar,cooking  baking,2454
,gold medal flour,cooking  baking,2450
,scott brand,household supplies,2445
,fresh step,medicines  treatments,2445
,kroger,chips,2439
,aveeno,oral care,2438
,bigs,nuts  seeds,2437
,blakes hard cider co,hard ciders,2434
,marie callenders,frozen meals,2433
,almond joy,candy,2432
,bob evans dinner sides,dairy,2425
,franzia box,wine,2424
,coors banquet,beer,2419
,kodiak cakes,frozen breakfast,2413
,rachael ray nutrish,frozen chicken,2411
,classico,red pasta sauce,2411
,cape cod,chips,2408
,deep eddy,spirits,2402
,kashi,cereal granola  toaster pastries,2393
,prego,alfredo  white pasta sauce,2388
,jack daniels country cocktails,malt beverages,2385
,bird dog,spirits,2384
,raos,sauces  marinades,2382
,wellsley farms,spirits,2380
,n a,bath  body,2379
,simply 35,wine,2378
,the dreaming tree,wine,2369
,minute maid light,fruit juices,2368
,bai,water,2367
,joy ultra,bath  body,2361
,cadbury,candy,2344
,devils backbone brewing company,beer,2341
,private label,deodorant  antiperspirant,2339
,diet ocean spray,fruit juices,2336
,cheezit,crackers,2331
,vaseline,bath  body,2327
,olay,skin care,2326
,bibigo,cooking  baking,2325
,bimbo,bread,2324
,luxe perfumery,body fragrances,2323
,mcalisters deli,cooking  baking,2320
,la delizia,wine,2316
,oralb,oral care,2315
,rihanna,deodorant  antiperspirant,2306
,equaline,hair removal,2303
,softsoap,bath  body,2302
,virgils,carbonated soft drinks,2300
,fuze,fruit juices,2294
,pampers,wine,2293
,deleon,spirits,2286
,brooklyn,beer,2285
,sweetarts,candy,2284
,fruit roll ups,fruit  vegetable snacks,2283
,onyx professional,bath  body,2282
,salvadors,spirits,2267
,smuckers uncrustables,prepared meals,2259
,magnum ice cream,frozen desserts,2257
,totinos,frozen meals,2254
,caseys gen store,household supplies,2252
,viamora,wine,2252
,fresca,carbonated soft drinks,2251
,highland,beer,2246
,o,water,2241
,tabasco,cooking  baking,2241
,pillsbury,cooking  baking,2238
,olde english hg800,malt beverages,2237
,finish,bath  body,2236
,st pierre,bread,2229
,modesa,bath  body,2227
,absolut,spirits,2225
,modesa,hair removal,2220
,mission,cooking  baking,2217
,pasta roni,cooking  baking,2217
,gain,cooking  baking,2215
,snuggle,household supplies,2214
,applegate,packaged meat,2213
,b just the basics,bath  body,2213
,miller high life,beer,2209
,vodka squeeze,spirits,2205
,dukes,packaged meat,2198
,private selection,cheese,2191
,passoa,spirits,2189
,new holland spirits,spirits,2180
,clase azul,spirits,2176
,colgate toothbrushes,oral care,2172
,romana,spirits,2169
,land o lakes,nut butters  jam,2160
,butterknife,wine,2158
,kodiak cakes,cereal granola  toaster pastries,2154
,cocacola cherry zero,carbonated soft drinks,2152
,original sin,fruit juices,2151
,mcalisters deli,packaged meals  sides,2145
,fanta,carbonated soft drinks,2145
,pullups,potty training,2130
,country crock plant butter,nut butters  jam,2130
,flying embers hard seltzer sweet  heat vari,hard seltzers sodas waters lemonades  teas,2127
,tombstone,frozen pizza  pizza snacks,2125
,loreal paris cosmetics,makeup,2124
,crush,carbonated soft drinks,2120
,presidente,beer,2118
,sweet bitch,wine,2116
,calypso,fruit juices,2115
,super soft,household supplies,2113
,magnum,frozen desserts,2112
,suave,bath  body,2109
,häagendazs,frozen desserts,2108
,butterball,nut butters  jam,2107
,simply,puffed snacks,2102
,hankeez,household supplies,2099
,advil,medicines  treatments,2095
,taco bell,cooking  baking,2092
,trix,cereal granola  toaster pastries,2089
,gemma di luna,wine,2088
,victory,beer,2085
,mcafees benchmark,spirits,2085
,reeses,candy,2081
,iams,cooking  baking,2080
,frigo,cheese,2072
,downeast cider house,fruit juices,2064
,sabritas,crackers,2061
,lazy magnolia,beer,2057
,healthy choice,frozen meals,2050
,vaseline,skin care,2047
,apothic,wine,2044
,skinny freezer,spirits,2044
,almond joy,candy,2043
,capri,wine,2040
